id,collection,dspace.entity.type,dc.title[en],dc.title[fr],nrcan.area.source
+,123456789s/18,Area,Froggy Lake,Lac Grenouille,geo names db
+,123456789s/18,Area,Galla Lake,Lac Galla,geo names db
+,123456789s/18,Area,Garry River,Rivière Garry,geo names db
+,123456789s/18,Area,Gauvreau Lake,Lac Gauvreau,geo names db
+,123456789s/18,Area,Giants Tomb Island,île Travers,geo names db
+,123456789s/18,Area,Goudreau Lake,Lac Goudreau,geo names db
+,123456789s/18,Area,Goulais Island Point,Pointe à Goulais,geo names db
+,123456789s/18,Area,Grandmaison Lake,Lac Grandmaison,geo names db
+,123456789s/18,Area,Great Desert,Grand-Désert,geo names db
+,123456789s/18,Area,Groundhog River,Rivière Groundhog,geo names db
+,123456789s/18,Area,Guilmette Lake,Lac Guilmette,geo names db
+,123456789s/18,Area,Henderson Lake,Lac Henderson,geo names db
